기준일자,집계기준일,TCS차종구분명,TCS차종구분코드,TCS차종유형구분명,TCS차종유형구분코드,TCS노선번호,TCS본부코드,TCS지사코드,노선명,순번,구분,교통량,방향구분코드,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,1,서울 -> 신갈JC,85036,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,2,신갈JC -> 수원신갈,98810,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,3,수원신갈 -> 기흥,87517,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,4,기흥 -> 기흥동탄,73251,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,72450,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,6,동탄JC -> 오산,81624,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,7,오산 -> 안성JC,80323,S,
20201028,20201028,1종,1,소형차,1,001,901,210300,경부선,8,안성JC -> 안성,74686,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,9,안성 -> 북천안,64421,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,10,북천안 -> 천안,67237,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,11,천안 -> 천안JC,57154,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,12,천안JC -> 목천,40178,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,13,목천 -> 옥산JC,37763,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,14,옥산JC -> 옥산,34673,S,
20201028,20201028,1종,1,소형차,1,001,903,410100,경부선,15,옥산 -> 청주,33763,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,16,청주 -> 남이JC,30331,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,17,남이JC -> 청주JC,53205,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,18,청주JC -> 남청주,44677,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,19,남청주 -> 신탄진,47225,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,20,신탄진 -> 회덕JC,43608,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,21,회덕JC -> 대전,33887,S,
20201028,20201028,1종,1,소형차,1,001,903,410200,경부선,22,대전 -> 비룡JC,28214,S,
20201028,20201028,1종,1,소형차,1,001,903,410500,경부선,23,비룡JC -> 옥천,15992,S,
20201028,20201028,1종,1,소형차,1,001,903,410500,경부선,24,옥천 -> 금강,9522,S,
20201028,20201028,1종,1,소형차,1,001,903,410500,경부선,25,금강 -> 금강휴게소,9315,S,
20201028,20201028,1종,1,소형차,1,001,903,410500,경부선,26,금강휴게소 -> 청성JC,9099,S,
20201028,20201028,1종,1,소형차,1,001,903,410500,경부선,27,청성JC -> 영동,9099,S,
