기준일자,집계기준일,TCS차종구분명,TCS차종구분코드,TCS차종유형구분명,TCS차종유형구분코드,TCS노선번호,TCS본부코드,TCS지사코드,노선명,순번,구분,교통량,방향구분코드,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,1,서울 -> 신갈JC,85123,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,2,신갈JC -> 수원신갈,103949,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,3,수원신갈 -> 기흥,94677,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,4,기흥 -> 기흥동탄,81185,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,77835,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,6,동탄JC -> 오산,86678,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,7,오산 -> 안성JC,85948,S,
20201010,20201010,1종,1,소형차,1,001,901,210300,경부선,8,안성JC -> 안성,81795,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,9,안성 -> 북천안,70257,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,10,북천안 -> 천안,73023,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,11,천안 -> 천안JC,64489,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,12,천안JC -> 목천,42262,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,13,목천 -> 옥산JC,41024,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,14,옥산JC -> 옥산,38601,S,
20201010,20201010,1종,1,소형차,1,001,903,410100,경부선,15,옥산 -> 청주,38154,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,16,청주 -> 남이JC,34712,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,17,남이JC -> 청주JC,63175,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,18,청주JC -> 남청주,52893,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,19,남청주 -> 신탄진,54794,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,20,신탄진 -> 회덕JC,50481,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,21,회덕JC -> 대전,38238,S,
20201010,20201010,1종,1,소형차,1,001,903,410200,경부선,22,대전 -> 비룡JC,34084,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,23,비룡JC -> 옥천,20555,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,24,옥천 -> 금강,13436,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,25,금강 -> 금강휴게소,12956,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,26,금강휴게소 -> 청성JC,12497,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,27,청성JC -> 영동,12497,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,28,영동 -> 황간,11349,S,
20201010,20201010,1종,1,소형차,1,001,903,410500,경부선,29,황간 -> 추풍령,11274,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,30,추풍령 -> 김천,11046,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,31,김천 -> 동김천,12343,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,32,동김천 -> 김천JC,14627,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,33,김천JC -> 구미,28311,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,34,구미 -> 남구미,33163,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,35,남구미 -> 왜관,38419,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,36,왜관 -> 칠곡물류,45532,S,
20201010,20201010,1종,1,소형차,1,001,905,610100,경부선,37,칠곡물류 -> 금호JC,46907,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,38,금호JC -> 북대구,65641,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,39,북대구 -> 도동JC,61145,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,40,도동JC -> 동대구JC,50358,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,41,동대구JC -> 경산,29903,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,42,경산 -> 영천,21135,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,43,영천 -> 북안JC,17135,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,44,북안JC -> 건천,24494,S,
20201010,20201010,1종,1,소형차,1,001,905,610200,경부선,45,건천 -> 경주,23393,S,
20201010,20201010,1종,1,소형차,1,001,906,710100,경부선,46,경주 -> 활천,21741,S,
20201010,20201010,1종,1,소형차,1,001,906,710100,경부선,47,활천 -> 언양JC,22167,S,
20201010,20201010,1종,1,소형차,1,001,906,710100,경부선,48,언양JC -> 서울산,30776,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,49,서울산 -> 통도사,34088,S,
20201010,20201010,1종,1,소형차,1,001,906,710900,경부선,50,통도사 -> 통도사휴게소,34956,S,
20201010,20201010,1종,1,소형차,1,001,906,710900,경부선,51,통도사휴게소 -> 양산,37626,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,52,양산 -> 양산JC,42835,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,53,양산JC -> 노포JC,31873,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,54,노포JC -> 노포,24656,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,55,노포 -> 노포JC2,22257,S,
20201010,20201010,1종,1,소형차,1,001,906,710500,경부선,56,노포JC2 -> 부산,31410,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,1,서울 -> 신갈JC,1597,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,2,신갈JC -> 수원신갈,2149,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,3,수원신갈 -> 기흥,1474,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,4,기흥 -> 기흥동탄,1308,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,1370,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,6,동탄JC -> 오산,1454,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,7,오산 -> 안성JC,1016,S,
20201010,20201010,2종,2,중형차,2,001,901,210300,경부선,8,안성JC -> 안성,964,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,9,안성 -> 북천안,759,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,10,북천안 -> 천안,853,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,11,천안 -> 천안JC,791,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,12,천안JC -> 목천,537,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,13,목천 -> 옥산JC,508,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,14,옥산JC -> 옥산,480,S,
20201010,20201010,2종,2,중형차,2,001,903,410100,경부선,15,옥산 -> 청주,472,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,16,청주 -> 남이JC,420,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,17,남이JC -> 청주JC,951,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,18,청주JC -> 남청주,822,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,19,남청주 -> 신탄진,911,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,20,신탄진 -> 회덕JC,831,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,21,회덕JC -> 대전,554,S,
20201010,20201010,2종,2,중형차,2,001,903,410200,경부선,22,대전 -> 비룡JC,480,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,23,비룡JC -> 옥천,311,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,24,옥천 -> 금강,140,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,25,금강 -> 금강휴게소,141,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,26,금강휴게소 -> 청성JC,134,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,27,청성JC -> 영동,134,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,28,영동 -> 황간,122,S,
20201010,20201010,2종,2,중형차,2,001,903,410500,경부선,29,황간 -> 추풍령,114,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,30,추풍령 -> 김천,115,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,31,김천 -> 동김천,144,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,32,동김천 -> 김천JC,206,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,33,김천JC -> 구미,392,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,34,구미 -> 남구미,505,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,35,남구미 -> 왜관,574,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,36,왜관 -> 칠곡물류,896,S,
20201010,20201010,2종,2,중형차,2,001,905,610100,경부선,37,칠곡물류 -> 금호JC,1155,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,38,금호JC -> 북대구,1503,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,39,북대구 -> 도동JC,1493,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,40,도동JC -> 동대구JC,1279,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,41,동대구JC -> 경산,911,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,42,경산 -> 영천,379,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,43,영천 -> 북안JC,253,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,44,북안JC -> 건천,317,S,
20201010,20201010,2종,2,중형차,2,001,905,610200,경부선,45,건천 -> 경주,304,S,
20201010,20201010,2종,2,중형차,2,001,906,710100,경부선,46,경주 -> 활천,280,S,
20201010,20201010,2종,2,중형차,2,001,906,710100,경부선,47,활천 -> 언양JC,317,S,
20201010,20201010,2종,2,중형차,2,001,906,710100,경부선,48,언양JC -> 서울산,554,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,49,서울산 -> 통도사,634,S,
20201010,20201010,2종,2,중형차,2,001,906,710900,경부선,50,통도사 -> 통도사휴게소,697,S,
20201010,20201010,2종,2,중형차,2,001,906,710900,경부선,51,통도사휴게소 -> 양산,710,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,52,양산 -> 양산JC,1192,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,53,양산JC -> 노포JC,631,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,54,노포JC -> 노포,508,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,55,노포 -> 노포JC2,455,S,
20201010,20201010,2종,2,중형차,2,001,906,710500,경부선,56,노포JC2 -> 부산,571,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,1,서울 -> 신갈JC,5718,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,2,신갈JC -> 수원신갈,5509,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,3,수원신갈 -> 기흥,4635,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,4,기흥 -> 기흥동탄,4401,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,4099,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,6,동탄JC -> 오산,4144,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,7,오산 -> 안성JC,3776,S,
20201010,20201010,3종,3,대형차,3,001,901,210300,경부선,8,안성JC -> 안성,3830,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,9,안성 -> 북천안,3523,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,10,북천안 -> 천안,3705,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,11,천안 -> 천안JC,3364,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,12,천안JC -> 목천,2165,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,13,목천 -> 옥산JC,2104,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,14,옥산JC -> 옥산,1971,S,
20201010,20201010,3종,3,대형차,3,001,903,410100,경부선,15,옥산 -> 청주,1965,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,16,청주 -> 남이JC,1638,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,17,남이JC -> 청주JC,2478,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,18,청주JC -> 남청주,1941,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,19,남청주 -> 신탄진,1973,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,20,신탄진 -> 회덕JC,1888,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,21,회덕JC -> 대전,1345,S,
20201010,20201010,3종,3,대형차,3,001,903,410200,경부선,22,대전 -> 비룡JC,994,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,23,비룡JC -> 옥천,509,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,24,옥천 -> 금강,384,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,25,금강 -> 금강휴게소,378,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,26,금강휴게소 -> 청성JC,373,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,27,청성JC -> 영동,373,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,28,영동 -> 황간,349,S,
20201010,20201010,3종,3,대형차,3,001,903,410500,경부선,29,황간 -> 추풍령,344,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,30,추풍령 -> 김천,346,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,31,김천 -> 동김천,328,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,32,동김천 -> 김천JC,376,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,33,김천JC -> 구미,970,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,34,구미 -> 남구미,967,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,35,남구미 -> 왜관,1105,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,36,왜관 -> 칠곡물류,1250,S,
20201010,20201010,3종,3,대형차,3,001,905,610100,경부선,37,칠곡물류 -> 금호JC,1383,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,38,금호JC -> 북대구,1776,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,39,북대구 -> 도동JC,1647,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,40,도동JC -> 동대구JC,1478,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,41,동대구JC -> 경산,1127,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,42,경산 -> 영천,787,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,43,영천 -> 북안JC,573,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,44,북안JC -> 건천,942,S,
20201010,20201010,3종,3,대형차,3,001,905,610200,경부선,45,건천 -> 경주,905,S,
20201010,20201010,3종,3,대형차,3,001,906,710100,경부선,46,경주 -> 활천,879,S,
20201010,20201010,3종,3,대형차,3,001,906,710100,경부선,47,활천 -> 언양JC,918,S,
20201010,20201010,3종,3,대형차,3,001,906,710100,경부선,48,언양JC -> 서울산,1073,S,
20201010,20201010,3종,3,대형차,3,001,906,710500,경부선,49,서울산 -> 통도사,1116,S,
20201010,20201010,3종,3,대형차,3,001,906,710900,경부선,50,통도사 -> 통도사휴게소,1194,S,
20201010,20201010,3종,3,대형차,3,001,906,710900,경부선,51,통도사휴게소 -> 양산,1233,S,
20201010,20201010,3종,3,대형차,3,001,906,710500,경부선,52,양산 -> 양산JC,1291,S,
