기준일자,집계기준일,TCS차종구분명,TCS차종구분코드,TCS차종유형구분명,TCS차종유형구분코드,TCS노선번호,TCS본부코드,TCS지사코드,노선명,순번,구분,교통량,방향구분코드,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,1,서울 -> 신갈JC,90856,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,2,신갈JC -> 수원신갈,108017,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,3,수원신갈 -> 기흥,99123,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,4,기흥 -> 기흥동탄,84975,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,81726,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,6,동탄JC -> 오산,91353,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,7,오산 -> 안성JC,90527,S,
20200926,20200926,1종,1,소형차,1,001,901,210300,경부선,8,안성JC -> 안성,83441,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,9,안성 -> 북천안,73504,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,10,북천안 -> 천안,75769,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,11,천안 -> 천안JC,65591,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,12,천안JC -> 목천,42873,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,13,목천 -> 옥산JC,41905,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,14,옥산JC -> 옥산,39848,S,
20200926,20200926,1종,1,소형차,1,001,903,410100,경부선,15,옥산 -> 청주,39542,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,16,청주 -> 남이JC,36844,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,17,남이JC -> 청주JC,64812,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,18,청주JC -> 남청주,52833,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,19,남청주 -> 신탄진,55772,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,20,신탄진 -> 회덕JC,51774,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,21,회덕JC -> 대전,40775,S,
20200926,20200926,1종,1,소형차,1,001,903,410200,경부선,22,대전 -> 비룡JC,37469,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,23,비룡JC -> 옥천,22064,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,24,옥천 -> 금강,14595,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,25,금강 -> 금강휴게소,14016,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,26,금강휴게소 -> 청성JC,13542,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,27,청성JC -> 영동,13542,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,28,영동 -> 황간,12182,S,
20200926,20200926,1종,1,소형차,1,001,903,410500,경부선,29,황간 -> 추풍령,11524,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,30,추풍령 -> 김천,11332,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,31,김천 -> 동김천,12442,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,32,동김천 -> 김천JC,15158,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,33,김천JC -> 구미,30023,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,34,구미 -> 남구미,35190,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,35,남구미 -> 왜관,40963,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,36,왜관 -> 칠곡물류,48500,S,
20200926,20200926,1종,1,소형차,1,001,905,610100,경부선,37,칠곡물류 -> 금호JC,50124,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,38,금호JC -> 북대구,68022,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,39,북대구 -> 도동JC,63555,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,40,도동JC -> 동대구JC,52112,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,41,동대구JC -> 경산,29785,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,42,경산 -> 영천,20261,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,43,영천 -> 북안JC,15951,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,44,북안JC -> 건천,23367,S,
20200926,20200926,1종,1,소형차,1,001,905,610200,경부선,45,건천 -> 경주,22494,S,
20200926,20200926,1종,1,소형차,1,001,906,710100,경부선,46,경주 -> 활천,20271,S,
20200926,20200926,1종,1,소형차,1,001,906,710100,경부선,47,활천 -> 언양JC,20705,S,
20200926,20200926,1종,1,소형차,1,001,906,710100,경부선,48,언양JC -> 서울산,29328,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,49,서울산 -> 통도사,32521,S,
20200926,20200926,1종,1,소형차,1,001,906,710900,경부선,50,통도사 -> 통도사휴게소,33247,S,
20200926,20200926,1종,1,소형차,1,001,906,710900,경부선,51,통도사휴게소 -> 양산,36015,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,52,양산 -> 양산JC,42186,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,53,양산JC -> 노포JC,33956,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,54,노포JC -> 노포,26330,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,55,노포 -> 노포JC2,23445,S,
20200926,20200926,1종,1,소형차,1,001,906,710500,경부선,56,노포JC2 -> 부산,33257,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,1,서울 -> 신갈JC,1829,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,2,신갈JC -> 수원신갈,2473,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,3,수원신갈 -> 기흥,1770,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,4,기흥 -> 기흥동탄,1580,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,5,기흥동탄 -> 동탄JC,1633,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,6,동탄JC -> 오산,1758,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,7,오산 -> 안성JC,1341,S,
20200926,20200926,2종,2,중형차,2,001,901,210300,경부선,8,안성JC -> 안성,1257,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,9,안성 -> 북천안,993,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,10,북천안 -> 천안,1067,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,11,천안 -> 천안JC,939,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,12,천안JC -> 목천,698,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,13,목천 -> 옥산JC,653,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,14,옥산JC -> 옥산,610,S,
20200926,20200926,2종,2,중형차,2,001,903,410100,경부선,15,옥산 -> 청주,601,S,
20200926,20200926,2종,2,중형차,2,001,903,410200,경부선,16,청주 -> 남이JC,553,S,
20200926,20200926,2종,2,중형차,2,001,903,410200,경부선,17,남이JC -> 청주JC,1219,S,
20200926,20200926,2종,2,중형차,2,001,903,410200,경부선,18,청주JC -> 남청주,994,S,
20200926,20200926,2종,2,중형차,2,001,903,410200,경부선,19,남청주 -> 신탄진,1090,S,
